name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9258910964859614,0.96466064453125,0.9312744140625,3.3677845001220703,0.9999985532407407,2073597
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9591722880557195,0.349609375,0.3328857421875,2.3090648651123047,0.9979531072878851,1390967
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9397103919769311,0.457275390625,0.42783355712890625,13.822578430175781,0.9986965854755355,1989862
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.0685067907115769,623.0585327148438,7.25927734375,1529.873779296875,0.9926840802247628,535290
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.5113338963902203,10.65423583984375,1.1016845703125,883.7346801757812,0.9831937485576,1367535
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.050203711615209076,608.4462280273438,6.5948486328125,1361.741455078125,0.9934084101735995,1343566
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.1987951998998299,250.2203369140625,5.607635498046875,859.3990478515625,0.9915031778914288,942397
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.6461238113948546,3.105224609375,1.4190673828125,1118.7425537109375,0.9944419276289711,1053651
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.7557782861217154,2.2406005859375,1.4681396484375,1348.853759765625,0.9967341107145105,807852
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.3296730978416442,222.79217529296875,3.9342498779296875,1400.2789306640625,0.9941422613193458,436675
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.28775235643449193,224.60516357421875,2.54107666015625,552.4095458984375,0.986219808827282,1685067
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.8644854479741297,0.85430908203125,0.69696044921875,1275.8154296875,0.997421294203439,1209110
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.23620646923363528,233.44879150390625,2.09918212890625,995.2193603515625,0.9295115606715946,1218506
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.9625779494890458,0.5916748046875,0.5651512145996094,4.5013885498046875,0.9974504347134407,953021
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.010363942118047626,503.17169189453125,6.524078369140625,826.114990234375,0.5961911693352742,722505
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.2277030977729149,209.49627685546875,4.643798828125,462.45989990234375,0.9996354166666667,2072844
